Id,Label,timeset,Name,gender,sphere,occupation,generation,journal,circle
"#fondaminskij","#fondaminskij",,"#fondaminskij",m,literature / else,editor / revolutionary,elder,Современные записки / Новый град,Круг / Зеленая лампа / Православное дело
"#olejnikov","#olejnikov",,"#olejnikov",m,medicine / else,doctor / patron,,,
"#stepun","#stepun",,"#stepun",m,academic / literature,professor / critic,elder,Новый град / Современные записки / Возрождение,
"#gessen","#gessen",,"#gessen",m,literature / else,politician / publicist,elder,Новый град,
"#sirin","#sirin",,"#sirin",m,literature,writer,younger,Возрождение / Современные записки,
"#kartashev","#kartashev",,"#kartashev",m,academic,professor,,,
"#kornilov","#kornilov",,"#kornilov",m,else,general,,,
"#nobel'","#nobel'",,"#nobel'",m / f,academic,chemist,,,
"#krymov","#krymov",,"#krymov",m,literature,writer / entrpreneur / publisher,elder,,
"#kul'man","#kul'man",,"#kul'man",m,academic / literature,professor / publicist,elder,Возрождение / Современные записки / Россия и славянство / Русская мысль,
"#kuznetsova","#kuznetsova",,"#kuznetsova",f,literature,poet / writer,younger,Современные записки / Последние новости,
"#zurov","#zurov",,"#zurov",m,literature,writer,younger,Иллюстрированная Россия / Последние новости,Круг
"#marga_stepun","#marga_stepun",,"#marga_stepun",f,art,singer,,,
"#minskij","#minskij",,"#minskij",m,literature,poet,elder,,
"#nekljudov","#nekljudov",,"#nekljudov",m,literature / else,ambassador / memoirist,,,
"#roschin","#roschin",,"#roschin",m,literature,writer,younger,Возрождение / Современные записки / Иллюстрированная Россия,
"#shaljapin","#shaljapin",,"#shaljapin",m,art,singer,,,
"#shaljapina","#shaljapina",,"#shaljapina",f,art,musician,,,
"#soldatskij","#soldatskij",,"#soldatskij",m,else,tailor,,,
"#trotskij","#trotskij",,"#trotskij",m,literature,journalist / politician,,,
"#tsvibak","#tsvibak",,"#tsvibak",m,literature,writer / journalist,younger,Последние новости,
