Source	Target	Weight
#bunins	#bunins	20.0
#bunins	#demidov	1.0
#bunins	#eremeeva	1.0
#bunins	#fondaminskij	3.0
#bunins	#gippius	1.0
#bunins	#glazunov	1.0
#bunins	#guchkov	1.0
#bunins	#hodasevich	2.0
#bunins	#kerenskij	1.0
#bunins	#konjus	1.0
#bunins	#kugushevy	1.0
#bunins	#kuprin	1.0
#bunins	#kuznetsova	4.0
#bunins	#landau	3.0
#bunins	#maklakov	1.0
#bunins	#mel'gunov	1.0
#bunins	#merezhkovskij	2.0
#bunins	#mochul'skij	1.0
#bunins	#peti	1.0
#bunins	#rahmaninov	1.0
#bunins	#roschin	3.0
#bunins	#shmelev	1.0
#bunins	#tsetlin	1.0
#bunins	#tsetlina	1.0
#bunins	#vishnjak	1.0
#bunins	#zajtsev	1.0
#bunins	#zajtseva	1.0
#bunins	#zurov	10.0
#demidov	#demidov	1.0
#demidov	#guchkov	1.0
#demidov	#kerenskij	1.0
#demidov	#landau	1.0
#demidov	#maklakov	1.0
#demidov	#mel'gunov	1.0
#demidov	#vishnjak	1.0
#eremeeva	#eremeeva	1.0
#fondaminskij	#fondaminskij	3.0
#fondaminskij	#kuprin	1.0
#fondaminskij	#landau	1.0
#fondaminskij	#zurov	3.0
#gippius	#gippius	1.0
#gippius	#merezhkovskij	1.0
#gippius	#zurov	1.0
#glazunov	#glazunov	1.0
#glazunov	#konjus	1.0
#glazunov	#rahmaninov	1.0
#guchkov	#guchkov	1.0
#guchkov	#kerenskij	1.0
#guchkov	#landau	1.0
#guchkov	#maklakov	1.0
#guchkov	#mel'gunov	1.0
#guchkov	#vishnjak	1.0
#hodasevich	#hodasevich	2.0
#hodasevich	#kuznetsova	1.0
#hodasevich	#landau	1.0
#hodasevich	#merezhkovskij	1.0
#hodasevich	#peti	1.0
#hodasevich	#tsetlin	1.0
#hodasevich	#tsetlina	1.0
#kerenskij	#kerenskij	1.0
#kerenskij	#landau	1.0
#kerenskij	#maklakov	1.0
#kerenskij	#mel'gunov	1.0
#kerenskij	#vishnjak	1.0
#konjus	#konjus	1.0
#konjus	#rahmaninov	1.0
#kugushevy	#kugushevy	1.0
#kugushevy	#zurov	1.0
#kuprin	#kuprin	1.0
#kuprin	#zurov	1.0
#kuznetsova	#kuznetsova	4.0
#kuznetsova	#landau	1.0
#kuznetsova	#tsetlin	1.0
#kuznetsova	#zurov	2.0
#landau	#landau	3.0
#landau	#maklakov	1.0
#landau	#mel'gunov	1.0
#landau	#tsetlin	1.0
#landau	#vishnjak	1.0
#landau	#zurov	1.0
#maklakov	#maklakov	1.0
#maklakov	#mel'gunov	1.0
#maklakov	#vishnjak	1.0
#mel'gunov	#mel'gunov	1.0
#mel'gunov	#vishnjak	1.0
#merezhkovskij	#merezhkovskij	2.0
#merezhkovskij	#peti	1.0
#merezhkovskij	#tsetlina	1.0
#merezhkovskij	#zurov	1.0
#mochul'skij	#mochul'skij	1.0
#peti	#peti	1.0
#peti	#tsetlina	1.0
#rahmaninov	#rahmaninov	1.0
#roschin	#roschin	3.0
#roschin	#zurov	1.0
#shmelev	#shmelev	1.0
#shmelev	#zurov	1.0
#tsetlin	#tsetlin	1.0
#tsetlina	#tsetlina	1.0
#vishnjak	#vishnjak	1.0
#zajtsev	#zajtsev	1.0
#zajtsev	#zajtseva	1.0
#zajtseva	#zajtseva	1.0
#zurov	#zurov	10.0
